iter	Passed	Remaining
0	4	469
1	9	488
2	12	391
3	13	332
4	16	307
5	19	301
6	21	287
7	24	277
8	28	284
9	30	273
10	32	263
11	34	256
12	36	246
13	38	234
14	39	224
15	40	214
16	42	206
17	43	198
18	44	191
19	46	184
20	47	178
21	49	173
22	50	168
23	51	163
24	52	157
25	53	153
26	54	148
27	56	144
28	57	140
29	58	136
30	59	132
31	61	129
32	63	128
33	64	125
34	66	122
35	67	120
36	68	117
37	69	114
38	71	111
39	72	108
40	73	106
41	74	102
42	75	100
43	77	98
44	79	96
45	81	96
46	83	94
47	84	91
48	85	89
49	86	86
50	88	84
51	89	82
52	90	80
53	92	78
54	93	76
55	94	74
56	95	72
57	96	70
58	98	68
59	99	66
60	101	64
61	102	62
62	103	60
63	105	59
64	108	58
65	110	56
66	112	55
67	113	53
68	114	51
69	116	49
70	117	47
71	118	46
72	120	44
73	122	43
74	124	41
75	125	39
76	127	37
77	128	36
78	129	34
79	130	32
80	132	31
81	133	29
82	135	27
83	137	26
84	139	24
85	140	22
86	141	21
87	143	19
88	144	17
89	145	16
90	147	14
91	148	12
92	149	11
93	151	9
94	153	8
95	154	6
96	155	4
97	156	3
98	157	1
99	159	0
